Regulator	Target
Medtr4g079760	Medtr1g024370
Medtr4g079760	Medtr1te079500
Medtr4g079760	Medtr2g039410
Medtr4g079760	Medtr3g104560
Medtr4g079760	Medtr4g132460
Medtr4g079760	Medtr4g133800
Medtr4g079760	Medtr6g045700
Medtr4g079760	Medtr7g011330
Medtr4g079760	Medtr7g024730
Medtr4g079760	contig_73581_1
Medtr4g068290	Medtr1g106470
Medtr4g068290	Medtr2g013000
Medtr4g068290	Medtr4g132460
Medtr4g068290	Medtr6g045700
Medtr4g068290	contig_57463_1
Medtr4g068290	contig_73581_1
Medtr1g106430	Medtr3g019090
Medtr1g106430	Medtr3g116920
Medtr1g106430	Medtr4g070540
Medtr1g106430	Medtr5g023340
Medtr1g106430	Medtr5g023470
Medtr1g106430	Medtr6g081840
Medtr1g106430	contig_162451_1
Medtr1g106430	contig_50547_1
Medtr1g106430	contig_87109_1
contig_168116_1	Medtr3g014180
contig_168116_1	TC186824
contig_168116_1	contig_104122_1
contig_168116_1	contig_167203_1
contig_168116_1	contig_90427_1
contig_168116_1	contig_9435_1
Medtr7g080780	AC235663_17
Medtr7g080780	BE203941
Medtr7g080780	Medtr1g035140
Medtr7g080780	Medtr2g008110
Medtr7g080780	Medtr2g008220
Medtr7g080780	Medtr3g005560
Medtr7g080780	Medtr3g022320
Medtr7g080780	Medtr3g034870
Medtr7g080780	Medtr3g106580
Medtr7g080780	Medtr4g065370
Medtr7g080780	Medtr4g100590
Medtr7g080780	Medtr5g016660
Medtr7g080780	Medtr5g026500
Medtr7g080780	Medtr7g050950
Medtr7g080780	Medtr7g091990
Medtr7g080780	TC179395
Medtr7g080780	TC183802
Medtr7g080780	contig_237741_1
Medtr7g080780	contig_240603_1
Medtr7g080780	contig_53212_1
Medtr7g080780	contig_56839_1
Medtr7g080780	contig_65015_1
Medtr7g091990	AL373430
Medtr7g091990	Medtr3g049330
Medtr7g091990	Medtr4g031800
Medtr7g091990	Medtr4g031990
Medtr7g091990	Medtr4g069840
Medtr7g091990	Medtr4g080050
Medtr7g091990	Medtr6g072155
Medtr7g091990	Medtr7g080780
Medtr7g091990	Medtr8g038560
Medtr7g091990	Medtr8g096000
Medtr7g091990	contig_101707_1
Medtr7g091990	contig_103035_1
Medtr7g091990	contig_165316_1
Medtr7g091990	contig_32843_29
Medtr7g091990	contig_52002_1
Medtr7g091990	contig_78470_1
Medtr7g091990	contig_92957_19
Medtr7g091990	contig_99419_1
contig_53967_1	Medtr1g035140
contig_53967_1	Medtr3g106580
contig_53967_1	Medtr8g038560
contig_53967_1	Medtr8g044140
contig_53967_1	contig_165316_1
contig_53967_1	contig_237741_1
contig_53967_1	contig_240603_1
contig_53967_1	contig_78470_1
AC235009_48	AC235006_23
AC235009_48	Medtr1g012480
AC235009_48	Medtr7g023590
AC235009_48	contig_112157_1
AC235009_48	contig_169551_1
AC235009_48	contig_51655_2
Medtr7g023630	Medtr2g008110
Medtr7g023630	contig_45637_1
Medtr7g023630	contig_79573_1
Medtr7g023630	contig_84974_1
Medtr7g023630	contig_89182_1
Medtr7g023630	contig_90434_1
contig_94663_1	Medtr1g108810
contig_94663_1	TC190942
contig_94663_1	contig_175871_1
contig_94663_1	contig_244319_1
contig_94663_1	contig_54895_1
contig_94663_1	contig_99741_1
contig_11618_1	Medtr8g089320
contig_11618_1	Medtr8g091110
contig_11618_1	contig_54895_1
contig_11618_1	contig_75118_1
Medtr2g075690	Medtr1g088170
Medtr2g075690	Medtr3g104510
Medtr2g075690	contig_55658_2
contig_166724_1	AC233662_34
contig_166724_1	Medtr1te059470
contig_166724_1	TC184996
contig_166724_1	contig_53097_1
AC225507_50	Medtr1g085160
AC225507_50	Medtr2g100270
AC225507_50	Medtr8g089340
AC225507_50	Medtr8g102620
contig_90573_1	AC202596_18
contig_90573_1	Medtr4g118470
contig_90573_1	Medtr5g095230
contig_90573_1	Medtr6g078420
contig_90573_1	Medtr7g012860
contig_90573_1	Medtr7g092750
contig_90573_1	Medtr8g078670
contig_90573_1	contig_133990_9
contig_90573_1	contig_19980_1
contig_90573_1	contig_94663_1
Medtr8g087420	Medtr3g086710
Medtr8g087420	Medtr3te027410
Medtr8g087420	Medtr7g090100
Medtr8g087420	TC192683
Medtr8g087420	TC200735
Medtr8g087420	contig_103880_1
